old_game_id_x,posteam,posteam_type,passing_yards,rushing_yards,rushing_tds,receiving_yards,receiving_tds,off_td,def_td_allowed,two_point_conv_result,interception,fumble_lost,field_goal_result,field_goal_attempt,extra_point_result,extra_point_attempt,posteam_score,fourth_down_converted,fourth_down_failed,third_down_converted,third_down_failed,epa_per_rush,epa_per_pass,dropback,pressure_true,pressure,sacks_taken,qh_hits_taken
2023090700,DET,away,253.0,118.0,1,253.0,1,2,0,0,0.0,1.0,0,0.0,3,3.0,21.0,1.0,2.0,5.0,10.0,-0.009220331986206896,0.04473663722643679,35,6,4,1.0,4.0
2023090700,KC,home,226.0,90.0,0,226.0,2,2,1,0,1.0,0.0,2,2.0,2,2.0,20.0,0.0,1.0,5.0,9.0,-0.03187561874074074,-0.079674227654321,45,20,7,0.0,7.0
2023091000,ATL,home,115.0,130.0,2,115.0,1,3,0,0,0.0,0.0,1,1.0,3,3.0,24.0,0.0,0.0,2.0,8.0,-0.008511020657142862,-0.06357785042857143,22,8,5,4.0,4.0
2023091000,CAR,away,146.0,154.0,0,146.0,1,1,0,0,2.0,1.0,1,1.0,1,1.0,10.0,0.0,2.0,5.0,9.0,-0.0977741188901099,-0.1156984946153846,42,17,7,2.0,7.0
2023091001,BAL,home,169.0,110.0,3,169.0,0,3,0,1,1.0,1.0,1,1.0,2,2.0,25.0,0.0,0.0,8.0,7.0,0.015293063113924046,-0.05589446108860759,31,14,8,4.0,7.0
2023091001,HOU,away,242.0,72.0,0,242.0,0,0,0,0,0.0,1.0,3,3.0,0,0.0,9.0,1.0,3.0,7.0,11.0,-0.08643691628723406,-0.12121154763829786,52,16,10,5.0,10.0
2023091002,CIN,away,82.0,75.0,0,82.0,0,0,0,0,0.0,0.0,1,2.0,0,0.0,3.0,0.0,1.0,2.0,13.0,-0.05533800903846153,-0.2549058464102564,34,15,10,2.0,10.0
2023091002,CLE,home,154.0,206.0,1,154.0,1,2,0,1,1.0,1.0,3,3.0,1,1.0,24.0,0.0,0.0,4.0,10.0,0.007909947865168528,-0.12214950719213483,35,18,5,3.0,5.0
2023091003,IND,home,223.0,65.0,1,223.0,1,2,0,0,1.0,2.0,0,0.0,3,3.0,21.0,1.0,4.0,2.0,10.0,-0.1495430495505618,-0.1595804520224719,47,15,8,4.0,6.0
2023091003,JAX,away,241.0,105.0,2,241.0,2,4,1,0,1.0,1.0,1,1.0,4,4.0,31.0,1.0,2.0,3.0,9.0,-0.08093794607058824,-0.10590432022352939,35,7,4,2.0,4.0
