old_game_id_x,posteam,passing_yards,rushing_yards,rushing_tds,receiving_yards,receiving_tds,off_td,def_td_allowed,two_point_conv_result,interception,fumble_lost,field_goal_result,field_goal_attempt,extra_point_result,extra_point_attempt,posteam_score
2023090700,DET,253.0,118.0,1,253.0,1,2,0,0,0.0,1.0,0,0.0,3,3.0,21.0
2023090700,KC,226.0,90.0,0,226.0,2,2,1,0,1.0,0.0,2,2.0,2,2.0,20.0
2023091000,ATL,115.0,130.0,2,115.0,1,3,0,0,0.0,0.0,1,1.0,3,3.0,24.0
2023091000,CAR,146.0,154.0,0,146.0,1,1,0,0,2.0,1.0,1,1.0,1,1.0,10.0
2023091001,BAL,169.0,110.0,3,169.0,0,3,0,1,1.0,1.0,1,1.0,2,2.0,25.0
2023091001,HOU,242.0,72.0,0,242.0,0,0,0,0,0.0,1.0,3,3.0,0,0.0,9.0
2023091002,CIN,82.0,75.0,0,82.0,0,0,0,0,0.0,0.0,1,2.0,0,0.0,3.0
2023091002,CLE,154.0,206.0,1,154.0,1,2,0,1,1.0,1.0,3,3.0,1,1.0,24.0
2023091003,IND,223.0,65.0,1,223.0,1,2,0,0,1.0,2.0,0,0.0,3,3.0,21.0
2023091003,JAX,241.0,105.0,2,241.0,2,4,1,0,1.0,1.0,1,1.0,4,4.0,31.0
2023091004,MIN,344.0,41.0,0,344.0,2,2,0,0,1.0,2.0,1,1.0,2,2.0,17.0
2023091004,TB,173.0,73.0,0,173.0,2,2,0,0,0.0,0.0,2,2.0,2,2.0,20.0
2023091005,NO,305.0,69.0,0,305.0,1,1,0,0,1.0,1.0,3,3.0,1,1.0,16.0
2023091005,TEN,198.0,104.0,0,198.0,0,0,0,0,3.0,0.0,5,5.0,0,0.0,12.0
2023091006,PIT,232.0,41.0,0,232.0,1,1,0,0,2.0,0.0,0,0.0,1,1.0,7.0
2023091006,SF,220.0,188.0,1,220.0,2,3,0,0,0.0,1.0,3,3.0,3,3.0,30.0
2023091007,ARI,132.0,96.0,0,132.0,0,0,0,0,0.0,2.0,3,3.0,1,1.0,16.0
2023091007,WAS,202.0,92.0,1,202.0,1,2,1,0,1.0,2.0,2,2.0,2,2.0,20.0
2023091008,CHI,216.0,122.0,1,216.0,1,2,1,1,1.0,1.0,2,2.0,0,0.0,20.0
2023091008,GB,245.0,92.0,1,245.0,3,4,0,0,0.0,0.0,1,1.0,5,5.0,38.0
2023091009,DEN,177.0,94.0,0,177.0,2,2,0,0,0.0,0.0,1,2.0,1,2.0,16.0
2023091009,LV,200.0,61.0,0,200.0,2,2,0,0,1.0,0.0,1,1.0,2,2.0,17.0
2023091010,LAC,229.0,233.0,3,229.0,1,4,0,0,0.0,0.0,2,2.0,4,4.0,34.0
2023091010,MIA,466.0,70.0,1,466.0,3,4,0,0,1.0,1.0,3,3.0,3,4.0,36.0
2023091011,NE,316.0,76.0,0,316.0,3,3,1,0,1.0,1.0,0,0.0,2,2.0,20.0
2023091011,PHI,170.0,97.0,0,170.0,1,1,0,0,0.0,1.0,4,4.0,1,2.0,25.0
2023091012,LA,334.0,92.0,3,332.0,0,3,0,0,0.0,0.0,3,5.0,3,3.0,27.0
2023091012,SEA,112.0,85.0,0,112.0,1,1,0,0,0.0,0.0,2,3.0,1,1.0,13.0
2023091013,DAL,143.0,122.0,3,143.0,0,3,0,0,0.0,0.0,2,2.0,4,5.0,40.0
2023091013,NYG,110.0,108.0,0,110.0,0,0,2,0,2.0,1.0,0,2.0,0,0.0,0.0
2023091100,BUF,236.0,97.0,0,236.0,1,1,1,0,3.0,1.0,3,3.0,1,1.0,16.0
2023091100,NYJ,140.0,172.0,0,140.0,1,1,0,0,1.0,0.0,3,3.0,1,1.0,22.0
